Text,Category,Urgency
Deep pothole on the airport bypass road is very dangerous.,Pothole,High
Pothole right in front of the ambulance bay is a critical issue.,Pothole,High
Small pothole near the temple square needs a routine fix.,Pothole,Low
Pothole on the bridge expansion joint is catching bike tires.,Pothole,High
Pothole near the toll gate is causing long queues.,Pothole,Medium
Massive pothole has appeared near the main bus terminal.,Pothole,High
"Small pothole near the garden fence, needs to be filled.",Pothole,Low
Pothole on the service road is forcing bikes onto the highway.,Pothole,Medium
Deep pothole at the blind turn of the bypass road.,Pothole,High
Pothole near the school is dangerous for children walking.,Pothole,High
Small pothole near the suburban park needs a patch.,Pothole,Low
Pothole on the high-speed corridor is causing sudden braking.,Pothole,High
Pothole depth is increasing due to heavy monsoon rain.,Pothole,Medium
Pothole near the hospital entrance is delaying medical staff.,Pothole,High
Small pothole near the community hall is a minor issue.,Pothole,Low
Pothole at the city center intersection is causing gridlock.,Pothole,High
Deep pothole near the highway exit is a tire-shredder.,Pothole,High
Small pothole near the residential gate needs repair.,Pothole,Low
Pothole near the metro pillar is dangerous for two-wheelers.,Pothole,High
Pothole in the bus lane is slowing down public transport.,Pothole,Medium
Massive pothole near the vegetable market is causing chaos.,Pothole,High
"Small pothole near the park entrance, requesting a check.",Pothole,Low
Pothole on the flyover is a major hazard for nighttime drivers.,Pothole,High
Pothole depth is now over 5 inches on the main road.,Pothole,Medium
Deep pothole at the blind corner of the 5th Cross road.,Pothole,High
Small pothole near the temple gate is a minor nuisance.,Pothole,Low
Pothole on the narrow bridge is causing traffic delays.,Pothole,High
Pothole near the shopping mall is a safety risk for visitors.,Pothole,Medium
Massive crater on the ring road is causing vehicle damage.,Pothole,High
Small pothole near the library needs a routine maintenance.,Pothole,Low
Pothole near the hospital bay is obstructing emergency access.,Pothole,High
Pothole depth is increasing daily on the industrial stretch.,Pothole,Medium
Deep pothole near the school bus stop is dangerous.,Pothole,High
"Small pothole near the park boundary, requesting filling.",Pothole,Low
Pothole on the bypass is forcing cars to swerve suddenly.,Pothole,High
Pothole near the metro station is a trip hazard.,Pothole,Medium
Massive pothole on the highway is causing serious accidents.,Pothole,High
Small pothole near the post office gate is a minor issue.,Pothole,Low
Pothole on the service lane is forcing bikes into traffic.,Pothole,Medium
Deep pothole near the airport gate is a safety hazard.,Pothole,High
Pothole at the intersection is causing daily traffic jams.,Pothole,High
Small pothole near the garden entrance needs a patch.,Pothole,Low
Pothole on the bridge is causing dangerous bottlenecks.,Pothole,Medium
Massive crater has formed near the main market entrance.,Pothole,High
Small pothole near the school zone is a minor concern.,Pothole,Low
Pothole on the flyover is causing bikers to lose control.,Pothole,High
Pothole depth is over 4 inches on the main thoroughfare.,Pothole,Medium
Deep pothole near the hospital zone is a critical hazard.,Pothole,High
Small pothole near the community park needs filling.,Pothole,Low
Pothole on the ring road is causing major delays.,Pothole,High
Pothole near the bank is a nuisance for commuters.,Pothole,Medium
Massive pothole on the expressway is a death trap.,Pothole,High
Small pothole near the library entrance is a minor issue.,Pothole,Low
Pothole on the service road is a safety risk for cycles.,Pothole,High
Pothole depth is increasing due to heavy traffic.,Pothole,Medium
Deep pothole near the airport terminal is dangerous.,Pothole,High
Small pothole near the residential park needs attention.,Pothole,Low
Pothole at the blind turn is causing near-misses.,Pothole,High
Pothole near the school gate is a major safety risk.,Pothole,High
Small pothole near the market square is a minor nuisance.,Pothole,Low
Pothole on the highway is causing vehicles to swerve.,Pothole,High
Pothole depth is now over 6 inches on the industrial road.,Pothole,Medium
Deep pothole near the hospital exit is dangerous.,Pothole,High
Small pothole near the park fence needs a patch job.,Pothole,Low
Pothole on the bridge is a major safety hazard for all.,Pothole,High
Pothole near the metro pillar is causing traffic stalls.,Pothole,Medium
Massive crater on the main road is a death trap for bikes.,Pothole,High
Small pothole near the school needs routine repair.,Pothole,Low
Pothole on the flyover is causing massive traffic backups.,Pothole,High
Pothole depth is increasing daily on the residential street.,Pothole,Medium
Deep pothole near the emergency ward is a safety risk.,Pothole,High
Small pothole near the library needs a quick fill.,Pothole,Low
Pothole on the service road is forcing bikes into the fast lane.,Pothole,High
Pothole near the toll booth is slowing down traffic.,Pothole,Medium
Massive pothole on the airport road is causing damage.,Pothole,High
Small pothole near the park boundary needs maintenance.,Pothole,Low
Pothole on the bypass is a major hazard at night.,Pothole,High
Pothole depth is increasing due to poor construction.,Pothole,Medium
Deep pothole near the school zone is dangerous for kids.,Pothole,High
Small pothole near the community garden needs a patch.,Pothole,Low
Pothole at the intersection is a major safety risk.,Pothole,High
Pothole near the bank entrance is causing delays.,Pothole,Medium
Massive crater has appeared overnight on the ring road.,Pothole,High
Small pothole near the library is a minor nuisance.,Pothole,Low
Pothole on the service road is a safety risk for bikers.,Pothole,High
Pothole depth is increasing due to heavy truck traffic.,Pothole,Medium
Deep pothole near the hospital is a critical issue.,Pothole,High
Small pothole near the park needs a routine fix.,Pothole,Low
Pothole at the blind turn is causing accidents daily.,Pothole,High
Pothole near the school gate is a major hazard.,Pothole,High
Small pothole near the market square needs a patch.,Pothole,Low
Pothole on the highway is causing vehicle damage.,Pothole,High
Pothole depth is now over 5 inches on the main street.,Pothole,Medium
Deep pothole near the metro station is dangerous.,Pothole,High
Small pothole near the garden gate needs filling.,Pothole,Low
Pothole on the flyover is a major hazard for bikers.,Pothole,High
Pothole near the toll gate is causing long traffic queues.,Pothole,Medium
Massive pothole has appeared near the main hospital.,Pothole,High
Small pothole near the school needs a quick fix.,Pothole,Low
Pothole on the bypass is a danger to all commuters.,Pothole,High
Pothole depth is increasing daily on the colony road.,Pothole,Medium
Deep pothole near the airport exit is a safety risk.,Pothole,High
Small pothole near the library needs a patch job.,Pothole,Low
Pothole on the service road is forcing bikes into traffic lanes.,Pothole,High
Pothole near the bank is causing a traffic bottleneck.,Pothole,Medium
Massive crater has formed on the main thoroughfare.,Pothole,High
Small pothole near the park entrance needs maintenance.,Pothole,Low
Pothole on the ring road is a major safety hazard.,Pothole,High
Pothole depth is increasing due to heavy monsoon rains.,Pothole,Medium
Deep pothole near the school is dangerous for children.,Pothole,High
Small pothole near the market needs a quick repair.,Pothole,Low
Pothole at the intersection is causing accidents daily.,Pothole,High
Pothole near the hospital gate is obstructing access.,Pothole,High
Small pothole near the park boundary needs a fill.,Pothole,Low
Pothole on the bypass is a major hazard for nighttime drivers.,Pothole,High
Pothole depth is over 6 inches on the industrial bypass road.,Pothole,Medium
Deep pothole right in front of the primary school entrance.,Pothole,High
Small pothole near the library is a minor nuisance.,Pothole,Low
Pothole on the flyover is causing bikers to lose balance.,Pothole,High
Pothole near the toll gate is slowing down traffic movement.,Pothole,Medium
Massive crater on the ring road is a danger to all.,Pothole,High
Small pothole near the park gate needs immediate filling.,Pothole,Low
Pothole on the service road is a safety risk for cyclists.,Pothole,High
Pothole depth is increasing due to poor quality of tar.,Pothole,Medium
Deep pothole near the hospital entrance is a critical hazard.,Pothole,High
Massive pile of rotting food waste dumped on the main road is attracting swarms of flies.,Garbage,High
The street-side bin is almost full and should be emptied by tomorrow morning.,Garbage,Low
Dead animal remains found in the trash pile near the residential gate; needs immediate removal.,Garbage,High
Requesting a routine sweep of the sidewalk as dry leaves and wrappers are gathering.,Garbage,Low
Hazardous medical waste and syringes found scattered around the public dustbin.,Garbage,High
The garbage collection truck has skipped our lane for the third day in a row.,Garbage,Medium
"Plastic waste is being burnt in the open, releasing thick black toxic smoke into homes.",Garbage,High
Construction debris and bricks have been illegally dumped on the walking path.,Garbage,Medium
A few empty plastic bottles are scattered near the park entrance.,Garbage,Low
Overflowing trash bin near the hospital is creating an unsanitary environment for patients.,Garbage,High
"Scavengers have ripped open the bags, spreading trash all over the main intersection.",Garbage,Medium
Strong stench of rotting organic waste is coming from the collection point near the market.,Garbage,High
"Someone has dumped an old, broken sofa and wooden scraps on the pavement.",Garbage,Medium
The bin at the corner of the street is starting to smell a little bit.,Garbage,Low
Industrial chemical waste bags were left overnight near the community well.,Garbage,High
Household trash is piling up at the corner because there are no bins nearby.,Garbage,Medium
Large mound of mixed waste at the city entry is an eyesore and a fire hazard.,Garbage,High
Requesting more waste bins to be placed along the high-traffic shopping street.,Garbage,Low
"Garbage pile has caught fire due to the heat, creating a dangerous haze.",Garbage,High
The trash truck is leaking foul-smelling liquid onto the road as it drives.,Garbage,Medium
Small amount of littering observed near the metro station staircase.,Garbage,Low
Raw sewage-soaked trash is lying on the street after the pipe burst.,Garbage,High
"Trash bins are broken and the lids are missing, letting rain turn waste into slush.",Garbage,Medium
Requesting a 'No Littering' sign for the playground area.,Garbage,Low
Rat infestation has started near the permanent garbage dump on 4th Main.,Garbage,High
People are throwing garbage bags from their balconies into the back alley.,Garbage,Medium
Garbage collection point hasn't been disinfected or cleaned in weeks.,Garbage,Low
Massive blockage of plastic bags is preventing water from entering the storm drain.,Garbage,High
Construction sand and debris are blowing into the street from an uncovered pile.,Garbage,Medium
Restaurant waste is being dumped in the open space behind the building.,Garbage,Medium
The small bin in front of the post office needs to be emptied.,Garbage,Low
"Garbage bins in the tourist area are overflowing, creating a bad reputation for the city.",Garbage,Medium
Cans and plastic wrappers are floating in the roadside puddle.,Garbage,Low
"Broken glass and metal scraps are dumped on the sidewalk, dangerous for pedestrians.",Garbage,High
Trash bags are being left on the road because the primary bin is full.,Garbage,Medium
Requesting the garbage truck to blow the horn more loudly during morning pickup.,Garbage,Low
Heaps of rotting fruit from the wholesale market are blocking the footpath.,Garbage,High
Someone dumped hazardous electronic waste and batteries in the general bin.,Garbage,High
The garbage collection point has become a permanent dumping ground for the whole ward.,Garbage,High
A few soda cans are lying on the grass in the community park.,Garbage,Low
Stray cows are eating plastic waste from the overflowing bin in the market.,Garbage,Medium
Thick layer of dust and litter has accumulated under the flyover.,Garbage,Medium
Requesting a periodic deep-clean of the area around the public waste containers.,Garbage,Low
Toxic waste dumped near the school boundary is a major concern for parents.,Garbage,High
Trash is scattered across the road by heavy winds last night.,Garbage,Medium
Requesting a lid for the open garbage container to prevent the smell.,Garbage,Low
Large amount of waste dumped near the bridge pillar is attracting vultures.,Garbage,High
The garbage collection crew is asking for extra money to pick up household waste.,Garbage,Medium
Minor littering around the public water fountain area.,Garbage,Low
"Garbage is piled up against the electric transformer, posing a serious fire risk.",Garbage,High
Discarded clothes and rags are rotting in the open near the bus stand.,Garbage,Medium
Small pile of trash found near the ATM booth entrance.,Garbage,Low
"Garbage is blocking the entrance to the public toilet, making it unusable.",Garbage,High
Household waste bags are being left at the commercial collection point.,Garbage,Medium
Requesting the sweeping of the alleyway behind the local shops.,Garbage,Low
Chemical containers found dumped in the residential trash area.,Garbage,High
The garbage bin is rusty and leaking waste from the bottom onto the street.,Garbage,Medium
There is a small pile of construction waste near the park gate.,Garbage,Low
Rotting fish waste from the market is creating an unbearable smell.,Garbage,High
Garbage collection has been irregular for the last ten days.,Garbage,Medium
"Requesting the removal of an old, rusted metal bin that is no longer used.",Garbage,Low
Massive heap of garbage is causing a bottleneck on the narrow lane.,Garbage,High
Trash is being dumped into the local lake through the fence.,Garbage,High
Someone is throwing garbage from a moving vehicle into the bushes.,Garbage,Medium
A few candy wrappers and papers are scattered on the sidewalk.,Garbage,Low
Waste from the slaughterhouse is being left in open bags on the street.,Garbage,High
Public bins are so full that people are leaving trash on the ground nearby.,Garbage,Medium
Requesting a weekly deep cleaning schedule for the market area.,Garbage,Low
Human waste is visible in the trash pile due to broken sanitation bags.,Garbage,High
Plastic bags are stuck in the tree branches around the dumping site.,Garbage,Medium
Minor littering near the library entrance.,Garbage,Low
Garbage pile is so high it is blocking the visibility of the traffic signal.,Garbage,High
The trash truck drops a lot of waste while driving through the lanes.,Garbage,Medium
Requesting a routine inspection of the cleanliness levels in our sector.,Garbage,Low
Heaps of garbage are preventing the flow of rainwater into the drains.,Garbage,High
The bin is currently empty but the ground around it is filthy.,Garbage,Medium
A small amount of litter has gathered near the bus shelter.,Garbage,Low
Toxic fumes are coming from the trash pile where chemicals were dumped.,Garbage,High
"Garbage bins are broken and the wheels are missing, making them hard to move.",Garbage,Medium
Requesting a change in the timing of the morning garbage collection.,Garbage,Low
Massive amount of plastic waste is clogging the entrance of the park.,Garbage,High
Household trash is being dumped by people from other neighborhoods here.,Garbage,Medium
A few pieces of paper are blowing around the community center.,Garbage,Low
Rotting waste is attracting a large number of stray dogs to the school gate.,Garbage,High
The trash bin is always tipped over by stray animals in the night.,Garbage,Medium
Requesting the sweeping of the road before the shops open at 9 AM.,Garbage,Low
Garbage is floating in the stagnant water on the road after the rain.,Garbage,High
The bin is overflowing with cardboard boxes from the nearby electronics shop.,Garbage,Medium
There is a small amount of household waste dumped on the corner plot.,Garbage,Low
Open dumping of waste near the maternity hospital is a health risk.,Garbage,High
Garbage collection truck is too large for the street and skips the end houses.,Garbage,Medium
Requesting the removal of posters and flyers stuck on the garbage bins.,Garbage,Low
Pile of waste is so large it is encroaching onto the driving lane.,Garbage,High
Stray cats are ripping open bags and spreading food waste everywhere.,Garbage,Medium
A few soda cans found near the public seating area.,Garbage,Low
Garbage is piled up against the wall of the heritage building.,Garbage,High
The bin is full and needs to be replaced with a larger one.,Garbage,Medium
Requesting the cleaning of the area after the weekly Sunday market.,Garbage,Low
Foul odor from the garbage dump is preventing residents from opening windows.,Garbage,High
Someone dumped an old mattress and a cycle frame on the sidewalk.,Garbage,Medium
Minor littering observed around the public ATM.,Garbage,Low
Garbage is being dumped directly into the storm water channel.,Garbage,High
The collection crew refuses to pick up segregated dry waste.,Garbage,Medium
Requesting the removal of weeds growing around the garbage bin area.,Garbage,Low
Massive amounts of rotting vegetables are dumped near the temple.,Garbage,High
The bin is overflowing with grass clippings and garden waste.,Garbage,Medium
Small amount of trash found near the community gate entrance.,Garbage,Low
"Garbage has blocked the sidewalk completely, forcing people to walk on the road.",Garbage,High
"The trash bin is missing its internal liner, making it hard to empty.",Garbage,Medium
Requesting a routine cleanup of the area behind the bus terminal.,Garbage,Low
Dead dog found in the garbage pile near the main circle.,Garbage,High
Trash is being dumped in the vacant lot behind the apartments.,Garbage,Medium
A few plastic wrappers are scattered near the temple fountain.,Garbage,Low
Garbage is attracting swarms of mosquitoes near the local clinic.,Garbage,High
"The trash truck arrives at irregular hours, making it hard to dispose of waste.",Garbage,Medium
Requesting more frequent sweeping during the windy season.,Garbage,Low
"Large mound of waste has caught fire, causing breathing issues for elders.",Garbage,High
Plastic bags are floating in the roadside drain due to littering.,Garbage,Medium
Small amount of litter near the parking lot entrance.,Garbage,Low
Garbage pile is blocking the entrance to the emergency fire lane.,Garbage,High
The bin is full and the waste is blowing into the nearby houses.,Garbage,Medium
Requesting a cleaning of the area around the community well.,Garbage,Low
Heavy industrial waste is being dumped in the residential bins.,Garbage,High
The garbage collection point is not being cleared on weekends.,Garbage,Medium
A few scraps of paper found near the library stairs.,Garbage,Low
Garbage is piled so high that it is touching the low-hanging power lines.,Garbage,High
The bin is broken and waste is falling onto the pavement.,Garbage,Medium
Requesting the removal of dry branches from the roadside.,Garbage,Low
Rotting organic waste is leaking foul juice onto the footpath.,Garbage,High
Trash is being dumped by street vendors after they close their stalls.,Garbage,Medium
Minor littering around the school playground.,Garbage,Low
Massive pile of waste is blocking the entrance to the park.,Garbage,High
The bin is full of heavy construction waste and stones.,Garbage,Medium
Requesting the sweeping of the alleyway behind the apartments.,Garbage,Low
Garbage is attracting rats that are entering the nearby houses.,Garbage,High
The collection truck is missing its schedule for the last two days.,Garbage,Medium
Small amount of litter near the bus terminal exit.,Garbage,Low
Garbage is piled up near the entrance to the primary school.,Garbage,High
The bin is overflowing and stray dogs are fighting over the waste.,Garbage,Medium
Requesting the removal of waste from the vacant corner plot.,Garbage,Low
Garbage is being dumped in the open drain by the shopkeepers.,Garbage,High
The trash truck is leaking a very foul smell throughout the lane.,Garbage,Medium
A few plastic bottles found near the park bench.,Garbage,Low
"Garbage is blocking the flow of the drain, causing a flood of trash.",Garbage,High
The bin is always full because it is too small for the population.,Garbage,Medium
Requesting a weekly deep cleaning of the street corners.,Garbage,Low
Rotting waste is attracting vultures near the airport road.,Garbage,High
The collection crew is not picking up the waste from the street bins.,Garbage,Medium
Minor littering around the public water tap.,Garbage,Low
Garbage is piled up against the wall of the local hospital.,Garbage,High
The bin is broken and the base is completely rusted through.,Garbage,Medium
Requesting more bins for the beach and park areas.,Garbage,Low
Toxic waste dumped in the residential bin is causing eye irritation.,Garbage,High
Garbage is being dumped in the open space behind the market.,Garbage,Medium
Small amount of trash found near the temple entrance.,Garbage,Low
Garbage is piled so high it is blocking the pedestrian path.,Garbage,High
The trash truck skips our street because of the narrow entrance.,Garbage,Medium
Requesting a routine cleaning of the area under the bridge.,Garbage,Low
Dead animal in the trash pile is creating a massive health risk.,Garbage,High
Garbage collection is very irregular and the bins are always full.,Garbage,Medium
A few scraps of paper blowing around the market square.,Garbage,Low
Garbage is blocking the entrance to the community center.,Garbage,High
The bin is full of heavy debris and cannot be moved.,Garbage,Medium
Requesting the removal of posters from the trash containers.,Garbage,Low
Rotting waste is attracting swarms of flies to the food stalls.,Garbage,High
The collection truck is not emptying the bins on time.,Garbage,Medium
Minor littering near the ATM booth.,Garbage,Low
"Garbage is piled up near the school gate, attracting stray dogs.",Garbage,High
The bin is broken and waste is spilling into the drain.,Garbage,Medium
Requesting a larger bin for the residential society.,Garbage,Low
Massive mound of waste is causing a traffic bottleneck.,Garbage,High
Trash is being dumped in the open by people from the next ward.,Garbage,Medium
A few plastic bags scattered near the park fence.,Garbage,Low
Garbage is blocking the visibility of the low-lying traffic sign.,Garbage,High
The trash truck is dropping waste as it speeds through the road.,Garbage,Medium
Requesting the sweeping of the road before the morning rush.,Garbage,Low
Rotting organic waste is attracting rats to the residential area.,Garbage,High
The bin is always full and smells like sulfur.,Garbage,Medium
Small amount of trash found near the bus stop.,Garbage,Low
Garbage is being dumped directly into the canal.,Garbage,High
The collection crew is not picking up the bags left outside bins.,Garbage,Medium
Requesting a cleaning of the area around the community park.,Garbage,Low
Toxic chemical waste dumped in the general trash area.,Garbage,High
Garbage bins are dirty and the surrounding ground is oily.,Garbage,Medium
Minor littering observed around the library entrance.,Garbage,Low
Garbage is piled so high it is touching the boundary wall.,Garbage,High
The trash truck is skipping our lane twice a week.,Garbage,Medium
Requesting a routine maintenance check for the trash bins.,Garbage,Low
Dead dog in the garbage pile is causing a terrible smell.,Garbage,High
Garbage collection is irregular and the area is getting filthy.,Garbage,Medium
A few pieces of litter found near the temple gate.,Garbage,Low
Garbage is blocking the pedestrian crossing at the intersection.,Garbage,High
The bin is full and stray animals are spreading the waste.,Garbage,Medium
Requesting the removal of old metal scraps from the roadside.,Garbage,Low
"Garbage is piled up near the hospital bay, attracting flies.",Garbage,High
The trash truck is leaking smelly water on the road.,Garbage,Medium
Small amount of litter near the metro station exit.,Garbage,Low
Massive pile of waste has caught fire near the apartment.,Garbage,High
The bin is broken and needs to be replaced immediately.,Garbage,Medium
Requesting a sweep of the alleyway behind the school.,Garbage,Low
Rotting fish waste is attracting vultures to the street.,Garbage,High
Garbage collection is delayed and the bins are overflowing.,Garbage,Medium
Minor littering around the public seating zone.,Garbage,Low
Garbage is blocking the flow of the rainwater drain.,Garbage,High
"Main water pipeline has burst on the highway, shooting water 10 feet into the air.",Water Supply & Drainage,High
A minor leak in the public tap near the park entrance is wasting water.,Water Supply & Drainage,Low
Drinking water is flooding the street near the metro station due to a broken joint.,Water Supply & Drainage,High
Slight dampness observed around the water meter box in our colony.,Water Supply & Drainage,Low
Massive leakage from the overhead tank is causing water to seep into the electrical room.,Water Supply & Drainage,High
Water is continuously dripping from the air release valve on the main road.,Water Supply & Drainage,Medium
Underground pipe leakage is causing the road surface to sink near the market.,Water Supply & Drainage,High
A small leak at the junction of the service pipe needs a washer replacement.,Water Supply & Drainage,Medium
The water fountain in the community garden has a small crack and is leaking.,Water Supply & Drainage,Low
Significant water wastage reported near the bridge due to a rusted pipe section.,Water Supply & Drainage,High
Fresh water is flowing into the open drain because of a broken supply line.,Water Supply & Drainage,High
Low water pressure in our lane suggests a hidden leak somewhere in the line.,Water Supply & Drainage,Medium
A small puddle of water is constantly forming near the fire hydrant.,Water Supply & Drainage,Low
Major pipe rupture near the hospital is cutting off the water supply to the ward.,Water Supply & Drainage,High
Water is spraying out from a hole in the pipe near the 3rd Cross intersection.,Water Supply & Drainage,Medium
Requesting a routine check for leaks in the old plumbing of the government building.,Water Supply & Drainage,Low
Potable water is mixing with drain water due to a cross-leakage in the pipes.,Water Supply & Drainage,High
The joint in the main supply line is leaking heavily during pumping hours.,Water Supply & Drainage,Medium
A slow drip from the public standpost is wasting liters of water every night.,Water Supply & Drainage,Low
A massive geyser-like leak has formed on the ring road due to construction damage.,Water Supply & Drainage,High
Water is bubbling up through the pavement cracks near the shopping mall.,Water Supply & Drainage,High
The valve at the end of our street does not close fully and leaks water.,Water Supply & Drainage,Medium
"Moisture is visible on the wall of the community tank, indicating a seep.",Water Supply & Drainage,Low
Pipeline burst near the school gate is making the road extremely slippery.,Water Supply & Drainage,High
Water is leaking from the flange of the main distribution pipe near the bypass.,Water Supply & Drainage,Medium
Requesting a technician to fix the minor leak in the public washroom tap.,Water Supply & Drainage,Low
Water is gushing out from the ground near the electrical transformer.,Water Supply & Drainage,High
The tap at the bus terminal is broken and cannot be turned off.,Water Supply & Drainage,Medium
Slight leakage from the air vent pipe near the water treatment plant.,Water Supply & Drainage,Low
A large crack in the water main is wasting thousands of gallons per hour.,Water Supply & Drainage,High
Water is seeping through the basement walls from a leaky external pipe.,Water Supply & Drainage,High
The connection point between the main and service line is dripping.,Water Supply & Drainage,Medium
Minor leak in the hose connection used for gardening in the public park.,Water Supply & Drainage,Low
Water supply pipe has split open near the railway crossing.,Water Supply & Drainage,High
The high-pressure pipe is whistling and leaking water at the joints.,Water Supply & Drainage,Medium
Requesting the replacement of a rusted valve that is leaking slightly.,Water Supply & Drainage,Low
Water is flooding the basement of the apartment due to a municipal pipe burst.,Water Supply & Drainage,High
A steady stream of water is flowing from the broken pipe near the temple.,Water Supply & Drainage,Medium
A very small leak reported in the overhead tank at the primary school.,Water Supply & Drainage,Low
Water pipeline hit by an excavator is flooding the entire construction site.,Water Supply & Drainage,High
The seal on the main water valve has failed and is spraying water.,Water Supply & Drainage,Medium
Requesting the tightening of the bolts on the leaking water meter.,Water Supply & Drainage,Low
Clean drinking water is wasted in a massive pool near the city circle.,Water Supply & Drainage,High
Water is leaking into the telecommunication duct from a broken pipe.,Water Supply & Drainage,Medium
Small leak in the distribution pipe near the 10th cross residential area.,Water Supply & Drainage,Low
